A                          kpit-Autopilo
Ctrl + B                   kpit-Airbrakes clos
Shift + B                  kpit-Airbrakes ope
B                          kpit-Airbrakes toggl
Shift + Alt + L            kpit-Aircraftlight
Shift + Ctrl + F4          kpit-AirSource In
Shift + Ctrl + F3          kpit-AirSource De
Ctrl + 3                   kpit-APOverrid
Ctrl + 1                   kpit-APSwitch Lef
Ctrl + 2                   kpit-APSwitch Righ
Alt + ,                    kpit-ALOWaltitude de
Alt + .                    kpit-ALOWaltitude in
Alt + F1                   kpit-AuxComm Lft digi
Alt + F2                   kpit-AuxComm Ctr digi
Alt + F3                   kpit-AuxComm Rt digi
Alt + F4                   kpit-AuxComm Band X/
Alt + F5                   kpit-AuxComm UFC/Backu
Alt + F6                   kpit-AuxComm AA/T
Alt + F7                   kpit-UHFNormal/Backu
F                          kpit-AVT
Ctrl + G                   kpit-Bettygear hor
Ctrl + C                   kpit-BettyMaster Cautio
Shift + C                  kpit-CATI/II
Alt + Z                    kpit-Chaff/Flareauto/manua
Z                          kpit-Dropflar
X                          kpit-Dropchaf
D                          kpit-Dogfightoverride mod
J                          kpit-EC
Ctrl + E                   kpit-Ejec
Alt + E                    kpit-EPUste
Ctrl + F                   kpit-FAC
'                          kpit-FCCsubmode
Shift + Ctrl + R           kpit-FuelDoo
Shift + Ctrl + F7          kpit-FuelMaster Switc
Alt + D                    kpit-DumpFue
Shift + Ctrl + F5          kpit-FuelPump Switch De
Shift + Ctrl + F6          kpit-FuelPump Switch In
Shift + Ctrl + F1          kpit-FuelSwitch De
Shift + Ctrl + F2          kpit-FuelSwitch In
Shift + Ctrl + L           kpit-Instrumentlight
Ctrl + J                   kpit-Jettisonal
Shift + J                  kpit-JFSswitc
Alt + K                    kpit-Kneeboardpag
G                          kpit-Landinggea
Shift + G                  kpit-Landinggear U
Alt + G                    kpit-Landinggear Dow
Shift + Ctrl + Alt + G     kpit-AlternateLanding Gea
Shift + Ctrl + G           kpit-ResetAlt Gear Extensio
Ctrl + Alt + L             kpit-Landingligh
Alt + L                    kpit-LaserAr
Shift + Ctrl + Alt + M     kpit-MasterArm cycl
Shift + M                  kpit-MasterArm o
Ctrl + M                   kpit-MasterArm saf
Alt + M                    kpit-MasterArm si
O                          kpit-Manualpitch overrid
M                          kpit-MRMoverride mod
C                          kpit-MRM/DFoverride cance
N                          kpit-NV
Alt + P                    kpit-Parkingbrak
Shift + Alt + F11          kpit-PowerDatalin
Shift + Alt + F6           kpit-PowerFC
Shift + Alt + F5           kpit-PowerFC
Shift + Alt + F10          kpit-PowerGP
Shift + Alt + F2           kpit-PowerHU
Ctrl + Alt + F1            kpit-PowerMain De
Ctrl + Alt + F2            kpit-PowerMain In
Shift + Alt + F12          kpit-PowerMA
Shift + Alt + F8           kpit-PowerMF
Shift + Alt + F7           kpit-PowerSM
Shift + Alt + F1           kpit-PowerTIS
Shift + Alt + F9           kpit-PowerUF
Shift + Alt + F3           kpit-PowerLeft Hp
