A                          Ckpit-Autopilot
Ctrl + B                   Ckpit-Airbrakes close
Shift + B                  Ckpit-Airbrakes open
B                          Ckpit-Airbrakes toggle
Shift + Alt + L            Ckpit-Aircraftlights
Shift + Ctrl + F4          Ckpit-AirSource Inc
Shift + Ctrl + F3          Ckpit-AirSource Dec
Ctrl + 3                   Ckpit-APOverride
Ctrl + 1                   Ckpit-APSwitch Left
Ctrl + 2                   Ckpit-APSwitch Right
Alt + ,                    Ckpit-ALOWaltitude dec
Alt + .                    Ckpit-ALOWaltitude inc
Alt + F1                   Ckpit-AuxComm Lft digit
Alt + F2                   Ckpit-AuxComm Ctr digit
Alt + F3                   Ckpit-AuxComm Rt digit
Alt + F4                   Ckpit-AuxComm Band X/Y
Alt + F5                   Ckpit-AuxComm UFC/Backup
Alt + F6                   Ckpit-AuxComm AA/TR
Alt + F7                   Ckpit-UHFNormal/Backup
F                          Ckpit-AVTR
Ctrl + G                   Ckpit-Bettygear horn
Ctrl + C                   Ckpit-BettyMaster Caution
Shift + C                  Ckpit-CATI/III
Alt + Z                    Ckpit-Chaff/Flareauto/manual
Z                          Ckpit-Dropflare
X                          Ckpit-Dropchaff
D                          Ckpit-Dogfightoverride mode
J                          Ckpit-ECM
Ctrl + E                   Ckpit-Eject
Alt + E                    Ckpit-EPUstep
Ctrl + F                   Ckpit-FACK
'                          Ckpit-FCCsubmodes
Shift + Ctrl + R           Ckpit-FuelDoor
Shift + Ctrl + F7          Ckpit-FuelMaster Switch
Alt + D                    Ckpit-DumpFuel
Shift + Ctrl + F5          Ckpit-FuelPump Switch Dec
Shift + Ctrl + F6          Ckpit-FuelPump Switch Inc
Shift + Ctrl + F1          Ckpit-FuelSwitch Dec
Shift + Ctrl + F2          Ckpit-FuelSwitch Inc
Shift + Ctrl + L           Ckpit-Instrumentlights
Ctrl + J                   Ckpit-Jettisonall
Shift + J                  Ckpit-JFSswitch
Alt + K                    Ckpit-Kneeboardpage
G                          Ckpit-Landinggear
Shift + G                  Ckpit-Landinggear Up
Alt + G                    Ckpit-Landinggear Down
Shift + Ctrl + Alt + G     Ckpit-AlternateLanding Gear
Shift + Ctrl + G           Ckpit-ResetAlt Gear Extension
Ctrl + Alt + L             Ckpit-Landinglight
Alt + L                    Ckpit-LaserArm
Shift + Ctrl + Alt + M     Ckpit-MasterArm cycle
Shift + M                  Ckpit-MasterArm on
Ctrl + M                   Ckpit-MasterArm safe
Alt + M                    Ckpit-MasterArm sim
O                          Ckpit-Manualpitch override
M                          Ckpit-MRMoverride mode
C                          Ckpit-MRM/DFoverride cancel
N                          Ckpit-NVG
Alt + P                    Ckpit-Parkingbrake
Shift + Alt + F11          Ckpit-PowerDatalink
Shift + Alt + F6           Ckpit-PowerFCC
Shift + Alt + F5           Ckpit-PowerFCR
Shift + Alt + F10          Ckpit-PowerGPS
Shift + Alt + F2           Ckpit-PowerHUD
Ctrl + Alt + F1            Ckpit-PowerMain Dec
Ctrl + Alt + F2            Ckpit-PowerMain Inc
